global_acc_list,global_loss_list
0.21,"tf.Tensor(1.69468, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.7048326, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6708325, shape=(), dtype=float32)"
0.21,"tf.Tensor(1.6899095, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.630174, shape=(), dtype=float32)"
0.19,"tf.Tensor(1.6138512, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6137999, shape=(), dtype=float32)"
0.21,"tf.Tensor(1.6166854, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6096247, shape=(), dtype=float32)"
0.21,"tf.Tensor(1.6948326, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.6263416, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6118845, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.6169463, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6078057, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6077329, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6094735, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6136988, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.6228884, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.6232705, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.6149946, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.613662, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6106071, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.6123725, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.6124102, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.6174258, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.6211594, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.6145633, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.6151206, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.6107343, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.6203215, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.6160924, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.6143415, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.6129118, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6076871, shape=(), dtype=float32)"
0.19,"tf.Tensor(1.6146008, shape=(), dtype=float32)"
0.19,"tf.Tensor(1.610239, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6066178, shape=(), dtype=float32)"
0.19,"tf.Tensor(1.6142235, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.611676, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6099709, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6077498, shape=(), dtype=float32)"
0.19,"tf.Tensor(1.612589, shape=(), dtype=float32)"
0.21,"tf.Tensor(1.6095296, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.6119331, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6079204, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.6141865, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.6126821, shape=(), dtype=float32)"
0.19,"tf.Tensor(1.6138965, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.6122502, shape=(), dtype=float32)"
0.19,"tf.Tensor(1.6111865, shape=(), dtype=float32)"
0.19,"tf.Tensor(1.6148647, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.6169026, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6074595, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.6148332, shape=(), dtype=float32)"
0.19,"tf.Tensor(1.6129919, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6098385, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6092257, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6089252, shape=(), dtype=float32)"
0.21,"tf.Tensor(1.6099483, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.6176819, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.6226162, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.6142374, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.6113309, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6062858, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.6167884, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.6123784, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.6115804, shape=(), dtype=float32)"
0.21,"tf.Tensor(1.6096228, shape=(), dtype=float32)"
0.21,"tf.Tensor(1.6085486, shape=(), dtype=float32)"
0.21,"tf.Tensor(1.609627, shape=(), dtype=float32)"
0.21,"tf.Tensor(1.607598, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6082444, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.6190379, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.6164434, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.617812, shape=(), dtype=float32)"
0.21,"tf.Tensor(1.6091672, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.6175739, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6088383, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.6145493, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6070209, shape=(), dtype=float32)"
0.2,"tf.Tensor(1.6198049, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6079309, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6078286, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.6147624, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6089287, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.6133553, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.6149257, shape=(), dtype=float32)"
0.19,"tf.Tensor(1.6158277, shape=(), dtype=float32)"
0.19,"tf.Tensor(1.6145102, shape=(), dtype=float32)"
0.19,"tf.Tensor(1.6132772, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6090602, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6109197, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.6117029, shape=(), dtype=float32)"
0.234,"tf.Tensor(1.6067759, shape=(), dtype=float32)"
0.19,"tf.Tensor(1.6125541, shape=(), dtype=float32)"
0.19,"tf.Tensor(1.6123646, shape=(), dtype=float32)"
0.19,"tf.Tensor(1.6145308, shape=(), dtype=float32)"
0.21,"tf.Tensor(1.6087704, shape=(), dtype=float32)"
0.19,"tf.Tensor(1.6118653, shape=(), dtype=float32)"
0.166,"tf.Tensor(1.6099292, shape=(), dtype=float32)"
